GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookingSystem,com.bookingsystem.BookingSystem.repository.entity,User,181,200,48,18,0,12,36,21,3,21
BookingSystem,com.bookingsystem.BookingSystem.repository.entity,User.UserBuilder,92,0,2,0,1,0,12,0,11,0
BookingSystem,com.bookingsystem.BookingSystem.repository.entity,UserDetailsImpl,408,0,66,0,24,0,59,0,26,0
BookingSystem,com.bookingsystem.BookingSystem.repository.entity,Role,33,98,13,9,3,5,13,9,2,9
BookingSystem,com.bookingsystem.BookingSystem.controller,UserController,0,75,0,6,0,19,0,9,0,6
BookingSystem,com.bookingsystem.BookingSystem.controller,UserController.UserResponse,8,15,0,0,1,6,2,3,2,3
BookingSystem,com.bookingsystem.BookingSystem.controller,AuthController,10,3,0,0,2,1,2,1,2,1
BookingSystem,com.bookingsystem.BookingSystem.controller,RoleController,13,6,0,0,3,3,2,1,2,1
BookingSystem,com.bookingsystem.BookingSystem.handler.exception,RoleNotFoundException,4,0,0,0,2,0,1,0,1,0
BookingSystem,com.bookingsystem.BookingSystem.handler.exception,UserAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
BookingSystem,com.bookingsystem.BookingSystem.handler,GlobalExceptionHandler,49,3,0,0,26,1,4,1,4,1
BookingSystem,com.bookingsystem.BookingSystem.config.jwt,AuthTokenFilter,67,7,8,0,17,2,6,2,2,2
BookingSystem,com.bookingsystem.BookingSystem.config.jwt,JwtUtils,87,7,0,0,22,2,4,2,4,2
BookingSystem,com.bookingsystem.BookingSystem.config.jwt,AuthEntryPointJwt,48,7,0,0,11,2,1,2,1,2
BookingSystem,com.bookingsystem.BookingSystem.repository.factory,RoleFactory,29,3,4,0,5,1,4,1,1,1
BookingSystem,com.bookingsystem.BookingSystem.repository.factory,RoleDataSeeder,8,24,1,3,1,6,1,3,0,2
BookingSystem,com.bookingsystem.BookingSystem.constants,ERole,0,21,0,0,0,4,0,1,0,1
BookingSystem,com.bookingsystem.BookingSystem.config,WebSecurityConfig,0,80,0,0,0,17,0,9,0,9
BookingSystem,com.bookingsystem.BookingSystem.config,TestSecurityConfig,0,23,0,0,0,6,0,4,0,4
BookingSystem,com.bookingsystem.BookingSystem.dto,ApiResponseDto,156,0,26,0,5,0,25,0,12,0
BookingSystem,com.bookingsystem.BookingSystem.dto,ApiResponseDto.ApiResponseDtoBuilder,37,0,0,0,1,0,6,0,6,0
BookingSystem,com.bookingsystem.BookingSystem.dto,SignInResponseDto,301,0,54,0,8,0,45,0,18,0
BookingSystem,com.bookingsystem.BookingSystem.dto,SignUpRequestDto,226,0,38,0,13,0,34,0,15,0
BookingSystem,com.bookingsystem.BookingSystem.dto,SignInResponseDto.SignInResponseDtoBuilder,64,0,0,0,1,0,9,0,9,0
BookingSystem,com.bookingsystem.BookingSystem.dto,SignInRequestDto,121,0,22,0,4,0,20,0,9,0
BookingSystem,com.bookingsystem.BookingSystem.service.impl,UserDetailsServiceImpl,18,3,0,0,3,1,2,1,2,1
BookingSystem,com.bookingsystem.BookingSystem.service.impl,UserService,118,6,20,0,30,3,17,1,7,1
BookingSystem,com.bookingsystem.BookingSystem.service.impl,AuthServiceImpl,156,3,8,0,47,1,8,1,4,1
BookingSystem,com.bookingsystem.BookingSystem.service.impl,RoleService,10,6,0,0,3,3,2,1,2,1
BookingSystem,com.bookingsystem.BookingSystem,BookingSystemApplication,5,3,0,0,2,1,1,1,1,1
BookingSystem,com.bookingsystem.BookingSystem,ServletInitializer,12,0,0,0,2,0,2,0,2,0
